Error code               Value  Description
---------------------------------------------------------------------------

ERROR_SUCCESS               0   Action completed successfully.

ERROR_INVALID_DATA         13   The data is invalid.

ERROR_INVALID_PARAMETER    87   One of the parameters was invalid.

ERROR_INSTALL_SERVICE_FAILURE   1601   The Windows Installer service could not be accessed. Contact your support personnel to verify that the Windows Installer service is properly registered.

ERROR_INSTALL_USEREXIT   1602   User cancel installation.

ERROR_INSTALL_FAILURE    1603   Fatal error during installation.

ERROR_INSTALL_SUSPEND    1604   Installation suspended, incomplete.

ERROR_UNKNOWN_PRODUCT    1605   This action is only valid for products that are currently installed.

ERROR_UNKNOWN_FEATURE    1606   Feature ID not registered.

ERROR_UNKNOWN_COMPONENT  1607   Component ID not registered.

ERROR_UNKNOWN_PROPERTY   1608   Unknown property.

ERROR_INVALID_HANDLE_STATE    1609   Handle is in an invalid state.                   

ERROR_BAD_CONFIGURATION  1610   The configuration data for this product is corrupted. Contact your support personnel.

ERROR_INDEX_ABSENT       1611   Component qualifier not present.

ERROR_INSTALL_SOURCE_ABSENT    1612   The installation source for this product is not available. Verify that the source exists and that you can access it.

ERROR_INSTALL_PACKAGE_VERSION   1613   This installation package cannot be installed by the Windows Installer service. You must install a Windows service pack that contains a newer version of the Windows Installer service.

ERROR_PRODUCT_UNINSTALLED           1614   Product is uninstalled.

ERROR_BAD_QUERY_SYNTAX   1615   SQL query syntax invalid or unsupported.

ERROR_INVALID_FIELD      1616   Record field does not exist.

ERROR_INSTALL_ALREADY_RUNNING   1618   Another installation is already in progress. Complete that installation before proceeding with this install.

ERROR_INSTALL_PACKAGE_OPEN_FAILED   1619   This installation package could not be opened. Verify that the package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer package.

ERROR_INSTALL_PACKAGE_INVALID   1620   This installation package could not be opened. Contact the application vendor to verify that this is a valid Windows Installer package.

ERROR_INSTALL_UI_FAILURE        1621   There was an error starting the Windows Installer service user interface. Contact your support personnel.

ERROR_INSTALL_LOG_FAILURE       1622   Error opening installation log file. Verify that the specified log file location exists and is writable.

ERROR_INSTALL_LANGUAGE_UNSUPPORTED  1623   This language of this installation package is not supported by your system.

ERROR_INSTALL_TRANSFORM_FAILURE 1624   Error applying transforms. Verify that the specified transform paths are valid.

ERROR_INSTALL_PACKAGE_REJECTED  1625   This installation is forbidden by system policy. Contact your system administrator.

ERROR_FUNCTION_NOT_CALLED      1626   Function could not be executed.            

ERROR_FUNCTION_FAILED    1627   Function failed during execution.

ERROR_INVALID_TABLE      1628   Invalid or unknown table specified.

ERROR_DATATYPE_MISMATCH  1629   Data supplied is of wrong type.

ERROR_UNSUPPORTED_TYPE   1630   Data of this type is not supported.

ERROR_CREATE_FAILED      1631   The Windows Installer service failed to start. Contact your support personnel.

ERROR_INSTALL_TEMP_UNWRITABLE      1632   The temp folder is either full or inaccessible. Verify that the temp folder exists and that you can write to it.

ERROR_INSTALL_PLATFORM_UNSUPPORTED  1633   This installation package is not supported on this platform. Contact your application vendor.

ERROR_INSTALL_NOTUSED    1634   Component not used on this computer.

ERROR_PATCH_PACKAGE_OPEN_FAILED     1635   This patch package could not be opened. Verify that the patch package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer patch package.

ERROR_PATCH_PACKAGE_INVALID     1636   This patch package could not be opened. Contact the application vendor to verify that this is a valid Windows Installer patch package.

ERROR_PATCH_PACKAGE_UNSUPPORTED     1637   This patch package cannot be processed by the Windows Installer service. You must install a Windows service pack that contains a newer version of the Windows Installer service.

ERROR_PRODUCT_VERSION    1638   Another version of this product is already installed. Installation of this version cannot continue. To configure or remove the existing version of this product, use Add/Remove Programs in Control Panel.

ERROR_INVALID_COMMAND_LINE   1639   Invalid command line argument. Consult the Windows Installer SDK for detailed command line help.

ERROR_INSTALL_REMOTE_DISALLOWED    1640   Installation from a Terminal Server client session not permitted for current user.

ERROR_SUCCESS_REBOOT_INITIATED    1641   The installer has started a reboot. This error code not available on Windows Installer version 1.0.

ERROR_PATCH_TARGET_NOT_FOUND      1642   The installer cannot install the upgrade patch because the program being upgraded may be missing, or the upgrade patch updates a different version of the program. Verify that the program to be upgraded exists on your computer and that you have the correct upgrade patch.

ERROR_SUCCESS_REBOOT_REQUIRED    3010   A restart is required to complete the install. This does not include installs where the ForceReboot action is run. Note that this error will not be available until future version of the installer. 
				
